decision_id,origin_port,destination_port,recommended_vessel_class,optimal_speed_knots,bunker_stop_port,bunker_fuel_type,bunker_qty_tons,estimated_voyage_days,total_cost_usd,projected_margin_usd
DEC-0001,Samarinda,Gangavaram,Supramax,11.7,Rotterdam,HSFO,1195.9,30.9,908374.89,81170.42
DEC-0002,Maputo,Paradip,Supramax,13.3,Visakhapatnam,HSFO,1055.5,26.6,1457071.64,152141.89
DEC-0003,Newcastle,Visakhapatnam (Inner),Panamax,12.1,Visakhapatnam,HSFO,467.4,13.1,837304.0,106521.7
DEC-0004,Maputo,Dhamra,Capesize,12.0,Visakhapatnam,VLSFO,1124.7,25.0,978531.36,156040.76
DEC-0005,Samarinda,Gopalpur,Panamax,12.3,Visakhapatnam,LSMGO,926.9,14.8,2012519.04,409463.55
DEC-0006,Maputo,Visakhapatnam (Outer),Supramax,12.2,Fujairah,LSMGO,962.3,23.3,2145125.18,370551.54
DEC-0007,Samarinda,Visakhapatnam (Inner),Supramax,13.7,Fujairah,HSFO,900.1,20.1,572437.01,124507.87
DEC-0008,Newcastle,Visakhapatnam (Inner),Panamax,11.5,Rotterdam,LSMGO,1042.7,26.7,965556.31,147228.35
DEC-0009,Norfolk,Dhamra,Capesize,13.6,Singapore,VLSFO,612.6,20.2,1300706.43,114730.72
DEC-0010,Samarinda,Paradip,Supramax,12.7,Fujairah,LSMGO,879.3,30.2,480016.52,101745.44
DEC-0011,Newcastle,Gangavaram,Capesize,12.0,Visakhapatnam,VLSFO,705.0,22.6,1707148.99,309990.18
DEC-0012,Richards Bay,Gangavaram,Panamax,11.8,Fujairah,VLSFO,868.9,13.1,1548244.05,200883.71
DEC-0013,Richards Bay,Visakhapatnam (Inner),Supramax,12.1,Rotterdam,HSFO,408.6,26.9,1139513.89,200240.3
DEC-0014,Samarinda,Dhamra,Capesize,12.4,Visakhapatnam,HSFO,751.7,12.1,1442671.02,230240.75
DEC-0015,Newcastle,Paradip,Panamax,12.6,Rotterdam,VLSFO,1151.1,12.2,521774.02,49660.15
DEC-0016,Samarinda,Haldia,Supramax,12.2,Singapore,HSFO,814.1,31.6,824400.22,145136.4
DEC-0017,Newcastle,Dhamra,Panamax,11.6,Visakhapatnam,VLSFO,1123.6,9.9,1886473.19,336414.39
DEC-0018,Norfolk,Gopalpur,Supramax,12.9,Rotterdam,LSMGO,425.1,12.0,1588678.15,187012.37
DEC-0019,Norfolk,Paradip,Panamax,14.0,Fujairah,HSFO,809.2,23.6,1861870.33,353321.39
DEC-0020,Newcastle,Haldia,Handysize,13.6,Visakhapatnam,VLSFO,1198.5,29.8,938972.66,85140.78
DEC-0021,Samarinda,Paradip,Panamax,13.9,Singapore,LSMGO,746.0,10.4,1311135.33,192613.49
DEC-0022,Richards Bay,Visakhapatnam (Outer),Handysize,13.6,Visakhapatnam,VLSFO,1147.2,17.5,703383.12,120348.79
DEC-0023,Norfolk,Gopalpur,Handysize,12.7,Fujairah,LSMGO,987.2,17.6,791932.96,105736.21
DEC-0024,Maputo,Gopalpur,Panamax,13.3,Singapore,LSMGO,823.2,10.6,1785312.78,333532.37
DEC-0025,Newcastle,Visakhapatnam (Outer),Panamax,13.9,Fujairah,HSFO,469.0,20.3,2024130.04,441476.84
DEC-0026,Maputo,Dhamra,Capesize,12.8,Rotterdam,VLSFO,1021.5,12.4,1524273.63,166514.31
DEC-0027,Norfolk,Haldia,Handysize,11.8,Rotterdam,VLSFO,895.3,28.0,1559010.48,307126.98
DEC-0028,Norfolk,Gopalpur,Handysize,13.8,Visakhapatnam,VLSFO,994.4,11.5,1561402.73,233813.68
DEC-0029,Richards Bay,Haldia,Handysize,12.2,Rotterdam,VLSFO,1060.3,21.4,805629.88,116029.38
DEC-0030,Maputo,Haldia,Supramax,13.9,Fujairah,VLSFO,760.6,26.5,1160811.31,236917.32
DEC-0031,Richards Bay,Paradip,Panamax,13.8,Rotterdam,VLSFO,820.3,12.9,1835458.49,222316.77
DEC-0032,Maputo,Visakhapatnam (Outer),Panamax,12.1,Fujairah,HSFO,1161.1,19.4,1519880.66,279007.38
DEC-0033,Maputo,Gangavaram,Handysize,12.3,Visakhapatnam,LSMGO,666.5,13.8,1657470.01,336688.63
DEC-0034,Newcastle,Visakhapatnam (Inner),Panamax,12.2,Singapore,VLSFO,429.0,28.2,652843.98,103834.31
DEC-0035,Samarinda,Gangavaram,Supramax,13.9,Rotterdam,LSMGO,416.3,23.3,790896.46,156890.98
DEC-0036,Norfolk,Paradip,Handysize,11.5,Rotterdam,LSMGO,727.6,9.0,1179633.35,223592.18
DEC-0037,Newcastle,Dhamra,Supramax,13.8,Rotterdam,LSMGO,777.8,24.9,1486821.12,125892.56
DEC-0038,Maputo,Gopalpur,Panamax,12.5,Singapore,HSFO,582.4,15.7,1492239.55,241006.13
DEC-0039,Maputo,Haldia,Supramax,12.1,Singapore,VLSFO,557.0,23.6,977636.16,171736.06
DEC-0040,Newcastle,Gangavaram,Supramax,12.7,Visakhapatnam,LSMGO,807.8,21.8,987539.19,189914.87
DEC-0041,Maputo,Dhamra,Panamax,13.9,Rotterdam,LSMGO,460.3,14.1,550418.24,87338.21
DEC-0042,Richards Bay,Visakhapatnam (Inner),Panamax,12.3,Visakhapatnam,HSFO,495.9,16.4,1228115.05,206945.0
DEC-0043,Maputo,Paradip,Panamax,13.4,Rotterdam,HSFO,991.3,24.2,1885578.73,333061.68
DEC-0044,Richards Bay,Gopalpur,Supramax,13.9,Visakhapatnam,HSFO,953.1,18.8,1314306.61,259058.53
DEC-0045,Norfolk,Gangavaram,Panamax,13.6,Singapore,HSFO,1088.7,19.6,1494350.84,267926.5
DEC-0046,Newcastle,Gopalpur,Handysize,12.9,Visakhapatnam,VLSFO,512.1,29.5,521150.01,87066.96
DEC-0047,Richards Bay,Gangavaram,Supramax,12.8,Fujairah,HSFO,553.1,8.6,1136708.73,235668.78
DEC-0048,Maputo,Gopalpur,Capesize,13.1,Rotterdam,HSFO,970.7,12.2,710872.63,133715.67
DEC-0049,Norfolk,Visakhapatnam (Inner),Panamax,12.3,Rotterdam,VLSFO,561.0,31.5,2039196.44,207989.86
DEC-0050,Richards Bay,Paradip,Handysize,12.0,Rotterdam,LSMGO,1020.5,30.8,1914586.81,279390.48
DEC-0051,Maputo,Gopalpur,Capesize,11.5,Visakhapatnam,LSMGO,621.4,23.7,1181210.71,177551.29
DEC-0052,Norfolk,Paradip,Supramax,12.7,Singapore,LSMGO,989.9,26.0,1938052.17,264849.57
DEC-0053,Maputo,Gopalpur,Capesize,13.1,Rotterdam,LSMGO,830.1,11.5,1430687.84,192008.8
DEC-0054,Maputo,Haldia,Handysize,13.7,Singapore,LSMGO,500.8,21.8,1583609.42,348007.93
DEC-0055,Samarinda,Paradip,Capesize,14.0,Singapore,HSFO,873.6,15.4,1092767.8,131019.4
DEC-0056,Maputo,Paradip,Capesize,13.3,Singapore,LSMGO,724.6,17.0,1629821.24,154546.99
DEC-0057,Norfolk,Visakhapatnam (Outer),Panamax,13.5,Visakhapatnam,HSFO,484.9,19.7,1347749.42,128240.97
DEC-0058,Samarinda,Dhamra,Handysize,13.0,Rotterdam,LSMGO,789.2,22.2,1291575.74,185815.43
DEC-0059,Norfolk,Haldia,Supramax,11.5,Singapore,HSFO,657.9,11.5,570098.84,104103.68
DEC-0060,Maputo,Dhamra,Capesize,13.9,Visakhapatnam,LSMGO,1198.2,11.7,1013221.53,133543.75
DEC-0061,Newcastle,Visakhapatnam (Inner),Supramax,12.2,Singapore,VLSFO,466.7,14.8,2111411.32,212626.72
DEC-0062,Newcastle,Haldia,Handysize,12.4,Rotterdam,HSFO,1012.5,23.2,1499613.37,189124.42
DEC-0063,Samarinda,Gangavaram,Capesize,13.6,Visakhapatnam,HSFO,959.2,26.8,717727.19,95461.4
DEC-0064,Newcastle,Visakhapatnam (Inner),Supramax,12.1,Fujairah,LSMGO,652.0,30.3,1034622.29,193805.16
DEC-0065,Newcastle,Paradip,Handysize,13.6,Fujairah,LSMGO,556.6,10.9,789820.53,149241.14
DEC-0066,Newcastle,Visakhapatnam (Outer),Handysize,13.9,Rotterdam,HSFO,861.2,23.4,1094402.24,240560.37
DEC-0067,Norfolk,Haldia,Panamax,12.0,Fujairah,LSMGO,953.7,31.1,1567826.31,264083.53
DEC-0068,Richards Bay,Dhamra,Capesize,11.8,Rotterdam,LSMGO,1193.1,18.8,975972.62,187142.71
DEC-0069,Maputo,Haldia,Handysize,12.2,Fujairah,VLSFO,891.0,13.3,917775.35,74614.52
DEC-0070,Norfolk,Haldia,Panamax,13.6,Visakhapatnam,VLSFO,701.8,21.0,1177007.98,231283.86
DEC-0071,Norfolk,Gangavaram,Supramax,13.6,Singapore,VLSFO,930.3,20.7,849176.83,173991.17
DEC-0072,Richards Bay,Dhamra,Panamax,11.7,Singapore,HSFO,764.9,9.3,1753935.18,249376.4
DEC-0073,Newcastle,Gopalpur,Panamax,11.7,Visakhapatnam,HSFO,1024.7,10.8,914558.6,150749.33
DEC-0074,Newcastle,Gopalpur,Panamax,12.9,Singapore,HSFO,727.9,18.5,680989.69,70387.01
DEC-0075,Richards Bay,Haldia,Handysize,13.3,Fujairah,VLSFO,1036.9,17.0,2154862.49,307026.86
DEC-0076,Samarinda,Gopalpur,Capesize,13.1,Visakhapatnam,LSMGO,947.5,23.4,958730.06,166510.29
DEC-0077,Richards Bay,Gangavaram,Capesize,12.6,Fujairah,VLSFO,936.7,23.2,1404570.74,143352.73
DEC-0078,Maputo,Visakhapatnam (Outer),Panamax,11.8,Visakhapatnam,HSFO,897.8,15.2,1457113.41,178781.46
DEC-0079,Richards Bay,Visakhapatnam (Outer),Handysize,13.4,Visakhapatnam,HSFO,945.5,12.0,1043446.42,93535.99
DEC-0080,Maputo,Visakhapatnam (Inner),Supramax,12.3,Visakhapatnam,HSFO,956.8,10.6,1158048.97,167833.54
DEC-0081,Norfolk,Visakhapatnam (Outer),Panamax,13.2,Rotterdam,HSFO,1168.4,17.1,1664231.7,331715.89
DEC-0082,Maputo,Dhamra,Capesize,12.6,Singapore,HSFO,805.9,10.3,2150795.44,372913.4
DEC-0083,Samarinda,Paradip,Capesize,13.5,Visakhapatnam,VLSFO,956.3,13.7,1939773.55,176428.6
DEC-0084,Norfolk,Visakhapatnam (Inner),Handysize,13.5,Rotterdam,VLSFO,501.6,26.9,1671321.39,328147.95
DEC-0085,Richards Bay,Paradip,Handysize,13.9,Rotterdam,HSFO,938.7,17.0,1007608.52,168101.36
DEC-0086,Newcastle,Gangavaram,Handysize,13.5,Visakhapatnam,HSFO,906.8,13.1,2070755.31,269255.79
DEC-0087,Newcastle,Haldia,Handysize,13.6,Rotterdam,LSMGO,656.1,14.1,1567181.63,256637.26
DEC-0088,Newcastle,Haldia,Panamax,13.8,Rotterdam,HSFO,540.3,24.8,496264.53,69317.06
DEC-0089,Samarinda,Haldia,Handysize,12.3,Singapore,VLSFO,1124.4,26.2,1674325.83,279571.9
DEC-0090,Newcastle,Visakhapatnam (Inner),Supramax,13.2,Singapore,LSMGO,867.3,20.8,1404376.57,151126.09
DEC-0091,Samarinda,Paradip,Panamax,13.2,Rotterdam,LSMGO,992.9,27.9,547307.4,120230.23
DEC-0092,Richards Bay,Gangavaram,Handysize,13.6,Fujairah,VLSFO,1105.7,29.5,1725529.58,280627.67
DEC-0093,Maputo,Visakhapatnam (Inner),Panamax,11.6,Rotterdam,HSFO,1163.6,13.1,1070691.33,185524.16
DEC-0094,Newcastle,Gopalpur,Capesize,13.2,Rotterdam,LSMGO,964.0,9.8,1181621.84,238409.05
